Code,Name,LHD/RHD,Brand,Year,Photo,Release
MGT00632,Nissan Silvia (S15) Rocket Bunny Chrome Pink MINI GT give 2023 Hong Kong,,Nissan,,,December2023
MGT00633,Nissan Silvia (S15) Rocket Bunny Chrome Blue MINI GT give 2023 China,,Nissan,,,December2023
MGT00634,Nissan Silvia (S15) Rocket Bunny Chrome Orange MINI GT give 2023 USA,,Nissan,,,November2023
MGT00635,Nissan GT-R Nismo GT500 #12 Team Impul 2021 Super GT Series,,Nissan,,,April2024
MGT00636,Nissan GT-R Nismo GT500 #3 NDDP Racing with B-Max 2021 Super GT Series,,Nissan,,,March2024
MGT00637,Honda Civic Type R Boost Blue Pearl,,Honda,,,April2024
MGT00638,Lamborghini Huracán STO Nero Noctis,,Lamborghini,,,May2024
MGT00639,Lamborghini LB-Silhouette Works Aventador GT EVO Yellow,,LB Works,,,February2024
MGT00640,BMW M4 GT3 #1 Paul Miller Racing IMSA 2023 Sebring 12 hrs. GTD Winner,,BMW,,,March2024
MGT00641,BMW M4 CSL (G82) Frozen Brooklyn Grey Metallic,,BMW,,,January2024
MGT00642,Porsche 901 1963 Ivory,LHD,Porsche,,,February2024
MGT00643,Nissan Silvia (S15) Rocket Bunny Bronze Yellow,RHD,Nissan,,,March2024
MGT00644,Bugatti EB110 GT Blu Bugatti,LHD,Bugatti,,,June2024
MGT00645,Lamborghini Huracán GT3 EVO #4 2022 Macau GP Macau GT Cup 3rd Place,LHD,Lamborghini,,,May2024
MGT00646,Ford Mustang GT LB-Works White,,LB Works,,,February2024
MGT00647,BMW M4 GT3 #97 Turner Motorsport IMSA 2023 Laguna Seca GTD 2nd Place,LHD,BMW,,,April2024
MGT00648,Lancia Stratos HF 1981 Rally Monte Carlo #4CANCELLED,,Lancia,,File:MGT00648.jpg,
MGT00649,Nissan LB-Super Silhouette S15 Silvia ADVAN,RHD,LB Works,,,August2024
MGT00650,"LB-Silhouette Works GT Nissan 35GT-RR Ver.2 ""RORO""",,LB Works,,,June2024
MGT00651,"LB-Silhouette Works GT Nissan 35GT-RR Ver.1 ""BARONG""",,LB Works,,,June2024
MGT00652,"Nissan LB-Super Silhouette S15 Silvia ""Garuda""",,LB Works,,,May2024
MGT00653,Nissan Skyline Kenmeri Liberty Walk Baby Blue w/ Kato Figure,,LB Works,,Tokyo Auto Salon 2024 Exclusive,January2024
MGT00654,McLaren F1 Red,,McLaren,,,April2024
MGT00655,Nissan Skyline Kenmeri Liberty Walk Matt Black,,LB Works,,,May2024
MGT00656,Honda S2000 (AP2) CR Grand Prix White,,Honda,,,March2024
MGT00657,Lamborghini Urus Performante Rosso Mars,,Lamborghini,,,June2024
MGT00658,Range Rover Davos White,,Land Rover,,,April2024
MGT00659,Honda Civic Type R Sonic Grey Pearl 2023,,Honda,,,June2024
MGT00660,Bentley Mulliner Bacalar Christmas Edition 2023,LHD,Bentley,,,November2023
MGT00661,Bugatti Divo White,,Bugatti,,,May2024
MGT00662,Porsche 911 (992) GT3 Guards Red,,Porsche,,,February2024
MGT00663,Ford GT #66 2019 24 Hrs Le Mans LM GTE-Pro Ford Chip Ganassi Team UK,,Ford,,,August2024
MGT00664,Ford GT #67 2019 24 Hrs Le Mans LM GTE-Pro Ford Chip Ganassi Team UK,,Ford,,,August2024
MGT00665,Ford GT #68 2019 24 Hrs Le Mans LM GTE-Pro Ford Chip Ganassi Team USA,,Ford,,,August2024
MGT00666,,,,,File:MGT00666.jpg,
MGT00667,Ford GT #69 2019 24 Hrs Le Mans LM GTE-Pro Ford Chip Ganassi Team USA,,Ford,,,August2024
MGT00668,Acura ARX-06 GTP #60 Meyer Shank Racing 2023 IMSA Daytona 24 Hrs Winner,LHD,Acura,,,April2024
MGT00669,Cadillac V-Series.R #02 Cadillac Racing 2023 IMSA Daytona 24 Hrs,LHD,Cadillac,,,April2024
MGT00670,BMW M Hybrid V8 GTP #24 BMW M Team RLL 2023 IMSA Daytona 24 Hrs,LHD,BMW,,,June2024
MGT00671,Nissan Skyline GT-R Top Secret Gold Chrome w/ Carbon Fiber Hood TAS 2024,,Top Secret,,,January2024
MGT00672,Chevrolet Corvette C8.R #3 Corvette Racing 2022 IMSA Sebring 12 Hrs GTD PRO Winner,LHD,Chevrolet,,,March2024
MGT00673,Chevrolet Corvette C8.R #33 Corvette Racing 2023 WEC 1000 Miles of Sebring LMGTE AM Winner,LHD,Chevrolet,,,March2024
MGT00674,Western Star 49X w/ Racing Transporter Corvette Racing C8.R,LHD,Western Star,,,March2024
MGT00675,Porsche 911 (992) GT3 Touring Crayon,,Porsche,,,November2024
MGT00676,Nissan Skyline GT-R (R34) Top Secret Gold Japan Exclusive,RHD,Top Secret,,,May2024
MGT00677,Chevrolet Corvette Z06 2023 Arctic White,,Chevrolet,,,June2024
MGT00678,Aston Martin Valkyrie Maximum Orange,,Aston Martin,,,June2024
MGT00679,Red Bull RB16B #11 Sergio Perez 2021 Turkish Grand Prix 3rd Place,,Red Bull Racing,,,August2024
MGT00680,Red Bull RB16B #33 Max Verstappen 2021 Turkish Grand Prix 2nd Place,,Red Bull Racing,,,August2024
MGT00681,Porsche 911 (992) GT3 RS Black with Pyro Red,,Porsche,,,June2024
MGT00682,Ducati Panigale V4 S w/ Ducati Girl,,Ducati,,,October2024
MGT00683,BMW M4 CSL Alpine White,,BMW,,,September2024
MGT00684,McLaren F1 GTR 1996 Presentation,,McLaren,,,April2024
MGT00685,Acura ARX-06 GTP #10 Konica Minolta 2023 IMSA Daytona 24 Hrs,,Acura,,,July2024
MGT00686,Honda Civic Type R #1 2023 Pace Car Red,,Honda,,,August2024
MGT00687,Lamborghini Huracán GT3 EVO2 Presentation,,Lamborghini,,,July2024
MGT00688,Porsche 911 Carrera RS 2.7 Black with Red Livery,,Porsche,,,July2024
MGT00689,"Lamborghini Huracán GT3 EVO2 #87 ""Bamboo Airways Lamborghini GT3"" JLOC 2023 Super GT Series",,Lamborghini,,,June2024
MGT00690,Lamborghini Huracán GT3 EVO #88 JLOC 2023 Super GT Series,,Lamborghini,,,June2024
MGT00691,"BMW M4 GT3 #7 ""Studie BMW M4"" BMW M Team Studie x CRS 2023 Super GT Series",,BMW,,,July2024
MGT00692,Honda NSX GT3 EVO22 #18 UPGARAGE,,Honda,,,September2024
MGT00693,BMW Alpina B7 xDrive Aventurin Red,,BMW,,,May2024
MGT00694,Mercedes-Benz EQS 580 4matic Black,,Mercedes-Benz,,,May2024
MGT00695,Porsche 901 1963 Signal Red,LHD,Porsche,,,September2024
MGT00696,Shelby GT500 Dragon Snake Concept,,Shelby,,,June2024
MGT00697,Nissan Skyline GT-R (R34) Tommykaira R-z Millennium Jade,,Tommykaira,,,June2024
MGT00698,Nissan Skyline Kenmeri Liberty Walk LBWK KUMA,,LB Works,,,July2024
MGT00699,Porsche 911 (992) Carrera S Safety Car 2023 IMSA Daytona 24 Hr.,,Porsche,,,July2024
MGT00700,BMW M3 Competition Touring (G81) Toronto Red Metallic,,BMW,,,June2024
MGT00701,Audi ABT RS6-R Glacier White Metallic,,Audi,,,August2024
MGT00702,Nissan Skyline Kenmeri Liberty Walk White,,LB Works,,,June2024
MGT00703,BMW M4 CSL Black Sapphire,LHD,BMW,,,September2024
MGT00704,Bugatti EB110 GT Grigio Chiaro,,Bugatti,,,May2024
MGT00705,"Mercedes-Benz Actros w/ 40 Ft Container ""UPS Europe""",LHD,Mercedes-Benz,,,July2024
MGT00706,Porsche 911 (992) GT3 RS Weissach Package White w/ Pyro Red Wheels,,Porsche,,,
MGT00707,Porsche 901 1963 Quickblau,,Porsche,,,August2024
MGT00708,Cadillac V-Series.R #01 Cadillac Racing 2023 IMSA Daytona 24 Hrs 3rd Place,,Cadillac,,,July2024
MGT00709,BMW M Hybrid V8 #25 BMW M Team RLL 2023 IMSA Sebring 12 Hrs 2nd Place,,BMW,,,July2024
MGT00710,Hyundai i20N N Rally1 2023 Rally Monte Carlo 3rd Place #11,,Hyundai,,,June2024
MGT00711,Nissan Skyline Kenmeri Liberty Walk Baby Blue w/ Kato Figure Type II,,LB Works,,Liberty Walk Pop Up Event Exclusive April 28,April2024
MGT00712,,,,,File:MGT00712.jpg,
MGT00713,Porsche 911 GT3 R #80 GTD AO Racing 2023 IMSA Sebring 12 Hrs,,Porsche,,,October2024
MGT00714,Nissan Silvia (S15) Top Secret D1GP,,Top Secret,,,
MGT00715,Porsche 911 Carrera RS 2.7 Grand Prix White with Blue Livery,,Porsche,,,December2024
MGT00716,Cadillac V-Series.R #2 Cadillac Racing 2023 Le Mans 24 hrs 3rd Place,LHD,Cadillac,,,September2024
MGT00717,Porsche 911 1964 Slate Grey,LHD,Porsche,,,
MGT00718,"LB WORKS Nissan GT-R (R35) Type 2, Rear Wing ver 3 Salao DieCast 2024",,LB Works,,Brasil Salao DieCast Exclusive,July2024
MGT00719,"LB WORKS Nissan GT-R (R35) Type 2, Rear Wing ver 3 Salao DieCast Dinner 2024",,LB Works,,Brasil Salao DieCast Dinner Exclusive,July2024
MGT00720,Lamborghini Countach LPI 800-4 Rosso Mars,,Lamborghini,,,June2024
MGT00721,Honda Civic Type R #2 2023 Pace Car White,LHD,Honda,,,July2024
MGT00722,Nissan Z Pandem Passion Red,,Nissan,,,August2024
MGT00723,McLaren F1 GTR #33 1996 Le Mans 24Hr,,McLaren,,,November2024
MGT00724,Oracle Red Bull Racing RB19 #1 Max Verstappen 2023 F1 2023 Bahrain GP Winner,,Red Bull Racing,,,
MGT00725,Oracle Red Bull Racing RB19 #11 Sergio Perez 2023 F1 2023 Saudi Arabian  GP Winner,,Red Bull Racing,,,
